seq,phase,data_mode,function,runtime,variant,memory_mb,role,pattern,warming,intended_cold,force_cold,rep,block,burst_id,idle_gap_min,t_start,t_start_utc,request_id,status,function_error,error,rtt_ms,duration_ms,billed_ms,init_ms,cold,max_memory_used_mb,report_source
87,package_size,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,7,,,,1790076987.951,2026-09-22T11:36:27.950+00:00,e3d553b2-6565-46cd-8979-0fdfb77ecfd1,200,,False,193.947,16.7,17,,False,132,logs
88,package_size,live,java-default,java,default,1024,measure,idle,off,True,update_env,7,,,,1790076990.363,2026-09-22T11:36:30.363+00:00,f6376cc1-8ab0-45b4-903c-575dccea3eba,200,,False,1291.419,127.26,915,786.83,True,123,logs
89,package_size,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,7,,,,1790076991.655,2026-09-22T11:36:31.655+00:00,123850cf-c184-40d5-a1fd-2ed2f0012eca,200,,False,216.163,36.96,37,,False,123,logs
90,package_size,live,nodejs-optimised,nodejs,optimised,1024,measure,idle,off,True,update_env,7,,,,1790076994.025,2026-09-22T11:36:34.024+00:00,3d43386c-7fab-4e36-b99a-47f029a5bf17,200,,False,657.274,196.14,344,147.4,True,78,logs
91,package_size,live,nodejs-optimised,nodejs,optimised,1024,follow_up,idle,off,False,update_env,7,,,,1790076994.683,2026-09-22T11:36:34.682+00:00,be9d504d-69ca-4b71-9910-cf25e76aaaa1,200,,False,467.505,128.12,129,,False,78,logs
92,package_size,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,7,,,,1790076997.344,2026-09-22T11:36:37.344+00:00,b96439f2-1bff-4d21-a333-c610e56db72c,200,,False,712.475,93.91,434,339.63,True,107,logs
93,package_size,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,7,,,,1790076998.058,2026-09-22T11:36:38.058+00:00,3571b4d8-c1a6-48d2-89af-b272c11fc978,200,,False,309.913,35.58,36,,False,107,logs
94,package_size,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,7,,,,1790077000.452,2026-09-22T11:36:40.451+00:00,c932b042-8393-4753-9b39-8f0f1c595171,200,,False,474.529,23.0,113,89.4,True,42,logs
95,package_size,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,7,,,,1790077000.928,2026-09-22T11:36:40.927+00:00,599af33c-5278-4f62-a625-1d20c107e6d0,200,,False,209.931,33.5,34,,False,42,logs
96,package_size,live,nodejs-default,nodejs,default,1024,measure,idle,off,True,update_env,8,,,,1790077003.334,2026-09-22T11:36:43.333+00:00,f1d51907-c07b-4bd0-a058-8d8873fc3550,200,,False,1892.991,256.39,1421,1163.71,True,127,logs
